	SwanOnly=false
	ScrapingHubOnly=true
	SwanDataDirectory=C:\Workspaces\jobsite\trufa\Common-Data\Swan
	ScrapingHubDataDirectory=C:\Workspaces\jobsite\trufa\Common-Data\ScrapingHubSmall

Loading Scrapinghub data into Mongo
10:47:39
0. MatchResult:  Input: Present, Output: 000000
2. MatchResult:  Input: (1 year 4 months), Output: 000104
10. MatchResult:  Input: June 2013, Output: 201306
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2001, Output: 200100
11. MatchResult:  Input: 2007, Output: 200700
6. MatchResult:  Input: 1 year 9 months, Output: 000109
10. MatchResult:  Input: March 2013, Output: 201303
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1986, Output: 198600
11. MatchResult:  Input: 1989, Output: 198900
1. MatchResult:  Input: (2 years 8 months), Output: 000208
10. MatchResult:  Input: February 2012, Output: 201202
0. MatchResult:  Input: Present, Output: 000000
6. MatchResult:  Input: 1 year 10 months, Output: 000110
10. MatchResult:  Input: February 2013, Output: 201302
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1990, Output: 199000
11. MatchResult:  Input: 1995, Output: 199500
6. MatchResult:  Input: 1 year 9 months, Output: 000109
10. MatchResult:  Input: May 2009, Output: 200905
10. MatchResult:  Input: January 2011, Output: 201101
5. MatchResult:  Input: 9 years 7 months, Output: 000907
10. MatchResult:  Input: May 2005, Output: 200505
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2003, Output: 200300
11. MatchResult:  Input: 2004, Output: 200400
5. MatchResult:  Input: 4 years 8 months, Output: 000408
10. MatchResult:  Input: April 2010, Output: 201004
0. MatchResult:  Input: Present, Output: 000000
1. MatchResult:  Input: (3 years 3 months), Output: 000303
10. MatchResult:  Input: July 2011, Output: 201107
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 2 years 2 months, Output: 000202
10. MatchResult:  Input: October 2012, Output: 201210
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2013, Output: 201300
11. MatchResult:  Input: 2015, Output: 201500
5. MatchResult:  Input: 27 years 7 months, Output: 002707
10. MatchResult:  Input: May 1987, Output: 198705
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 3 years 4 months, Output: 000304
10. MatchResult:  Input: August 2011, Output: 201108
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1998, Output: 199800
11. MatchResult:  Input: 2001, Output: 200100
6. MatchResult:  Input: 1 year 11 months, Output: 000111
10. MatchResult:  Input: January 2013, Output: 201301
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2011, Output: 201100
9. MatchResult:  Input: 7 months, Output: 000007
10. MatchResult:  Input: May 2014, Output: 201405
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2008, Output: 200800
11. MatchResult:  Input: 2011, Output: 201100
9. MatchResult:  Input: 4 years, Output: 000400
11. MatchResult:  Input: 2007, Output: 200700
11. MatchResult:  Input: 2011, Output: 201100
11. MatchResult:  Input: 2007, Output: 200700
11. MatchResult:  Input: 2011, Output: 201100
5. MatchResult:  Input: 11 years 3 months, Output: 001103
10. MatchResult:  Input: September 2003, Output: 200309
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 5 years 7 months, Output: 000507
10. MatchResult:  Input: May 2009, Output: 200905
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 2 years 11 months, Output: 000211
10. MatchResult:  Input: January 2012, Output: 201201
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1993, Output: 199300
11. MatchResult:  Input: 1994, Output: 199400
11. MatchResult:  Input: 2006, Output: 200600
11. MatchResult:  Input: 2008, Output: 200800
11. MatchResult:  Input: 1999, Output: 199900
11. MatchResult:  Input: 2001, Output: 200100
0. MatchResult:  Input: Present, Output: 000000
7. MatchResult:  Input: 13 years 1 month, Output: 001301
10. MatchResult:  Input: March 2001, Output: 200103
10. MatchResult:  Input: March 2014, Output: 201403
11. MatchResult:  Input: 2011, Output: 201100
11. MatchResult:  Input: 2014, Output: 201400
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 3 years 4 months, Output: 000304
10. MatchResult:  Input: September 2009, Output: 200909
10. MatchResult:  Input: December 2012, Output: 201212
11. MatchResult:  Input: 2008, Output: 200800
11. MatchResult:  Input: 2011, Output: 201100
11. MatchResult:  Input: 2009, Output: 200900
11. MatchResult:  Input: 2012, Output: 201200
5. MatchResult:  Input: 7 years 2 months, Output: 000702
10. MatchResult:  Input: October 2007, Output: 200710
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 4 years 6 months, Output: 000406
10. MatchResult:  Input: June 2010, Output: 201006
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1990, Output: 199000
11. MatchResult:  Input: 1993, Output: 199300
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 2 years 8 months, Output: 000208
10. MatchResult:  Input: April 2012, Output: 201204
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1995, Output: 199500
11. MatchResult:  Input: 1998, Output: 199800
1. MatchResult:  Input: (2 years 2 months), Output: 000202
10. MatchResult:  Input: August 2012, Output: 201208
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: (10 years), Output: 001000
11. MatchResult:  Input: 2004, Output: 200400
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2011, Output: 201100
11. MatchResult:  Input: 2014, Output: 201400
5. MatchResult:  Input: 5 years 8 months, Output: 000508
10. MatchResult:  Input: April 2009, Output: 200904
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1980, Output: 198000
11. MatchResult:  Input: 1984, Output: 198400
9. MatchResult:  Input: 4 months, Output: 000004
10. MatchResult:  Input: August 2014, Output: 201408
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2009, Output: 200900
11. MatchResult:  Input: 2014, Output: 201400
11. MatchResult:  Input: 1990, Output: 199000
11. MatchResult:  Input: 1992, Output: 199200
11. MatchResult:  Input: 2009, Output: 200900
11. MatchResult:  Input: 2013, Output: 201300
10. MatchResult:  Input: July 2006, Output: 200607
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1980, Output: 198000
11. MatchResult:  Input: 1984, Output: 198400
5. MatchResult:  Input: 4 years 8 months, Output: 000408
10. MatchResult:  Input: April 2010, Output: 201004
0. MatchResult:  Input: Present, Output: 000000
7. MatchResult:  Input: 4 years 1 month, Output: 000401
10. MatchResult:  Input: November 2010, Output: 201011
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2004, Output: 200400
11. MatchResult:  Input: 2006, Output: 200600
5. MatchResult:  Input: 2 years 11 months, Output: 000211
10. MatchResult:  Input: January 2012, Output: 201201
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2005, Output: 200500
11. MatchResult:  Input: 2009, Output: 200900
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 13 years 3 months, Output: 001303
10. MatchResult:  Input: September 2001, Output: 200109
0. MatchResult:  Input: Present, Output: 000000
1. MatchResult:  Input: (7 years 2 months), Output: 000702
10. MatchResult:  Input: August 2007, Output: 200708
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1993, Output: 199300
11. MatchResult:  Input: 1997, Output: 199700
1. MatchResult:  Input: (10 years 10 months), Output: 001010
10. MatchResult:  Input: January 1998, Output: 199801
10. MatchResult:  Input: October 2008, Output: 200810
11. MatchResult:  Input: 1972, Output: 197200
11. MatchResult:  Input: 1976, Output: 197600
5. MatchResult:  Input: 2 years 9 months, Output: 000209
10. MatchResult:  Input: March 2012, Output: 201203
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2006, Output: 200600
11. MatchResult:  Input: 2010, Output: 201000
5. MatchResult:  Input: 7 years 2 months, Output: 000702
10. MatchResult:  Input: April 2006, Output: 200604
10. MatchResult:  Input: May 2013, Output: 201305
11. MatchResult:  Input: 1978, Output: 197800
11. MatchResult:  Input: 1982, Output: 198200
1. MatchResult:  Input: (14 years 9 months), Output: 001409
10. MatchResult:  Input: January 2000, Output: 200001
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
10. MatchResult:  Input: May 1988, Output: 198805
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1966, Output: 196600
11. MatchResult:  Input: 1971, Output: 197100
6. MatchResult:  Input: 1 year 8 months, Output: 000108
10. MatchResult:  Input: April 2013, Output: 201304
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1998, Output: 199800
11. MatchResult:  Input: 1999, Output: 199900
7. MatchResult:  Input: 11 years 1 month, Output: 001101
10. MatchResult:  Input: November 2003, Output: 200311
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1986, Output: 198600
11. MatchResult:  Input: 1991, Output: 199100
5. MatchResult:  Input: 4 years 3 months, Output: 000403
